hosts_time_as_host_years,accommodates,bathrooms,bedrooms,beds,price_quote_price_per_night,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,comuna_Cerrillos,comuna_Cerro Navia,comuna_Conchalí,comuna_El Bosque,comuna_Estación Central,comuna_Huechuraba,comuna_Independencia,comuna_La Cisterna,comuna_La Florida,comuna_La Granja,comuna_La Pintana,comuna_La Reina,comuna_Las Condes,comuna_Lo Barnechea,comuna_Lo Espejo,comuna_Lo Prado,comuna_Macul,comuna_Maipú,comuna_Pedro Aguirre Cerda,comuna_Peñalolén,comuna_Providencia,comuna_Pudahuel,comuna_Quilicura,comuna_Quinta Normal,comuna_Recoleta,comuna_Renca,comuna_San Joaquín,comuna_San Miguel,comuna_Santiago,comuna_Vitacura,comuna_Ñuñoa,tipo_Bus,tipo_Camper/RV,tipo_Casa_particular,tipo_Castle,tipo_Cave,tipo_Entire_bungalow,tipo_Entire_cabin,tipo_Entire_chalet,tipo_Entire_condo,tipo_Entire_cottage,tipo_Entire_guest_suite,tipo_Entire_guesthouse,tipo_Entire_home,tipo_Entire_loft,tipo_Entire_place,tipo_Entire_rental_unit,tipo_Entire_serviced_apartment,tipo_Entire_townhouse,tipo_Entire_vacation_home,tipo_Entire_villa,tipo_Hut,tipo_Private_room,tipo_Private_room_in_bed_and_breakfast,tipo_Private_room_in_bungalow,tipo_Private_room_in_bus,tipo_Private_room_in_cabin,tipo_Private_room_in_casa_particular,tipo_Private_room_in_chalet,tipo_Private_room_in_condo,tipo_Private_room_in_cottage,tipo_Private_room_in_dome,tipo_Private_room_in_earthen_home,tipo_Private_room_in_farm_stay,tipo_Private_room_in_guest_suite,tipo_Private_room_in_guesthouse,tipo_Private_room_in_home,tipo_Private_room_in_hostel,tipo_Private_room_in_loft,tipo_Private_room_in_nature_lodge,tipo_Private_room_in_rental_unit,tipo_Private_room_in_serviced_apartment,tipo_Private_room_in_tent,tipo_Private_room_in_tiny_home,tipo_Private_room_in_tower,tipo_Private_room_in_townhouse,tipo_Private_room_in_treehouse,tipo_Private_room_in_vacation_home,tipo_Private_room_in_villa,tipo_Room_in_aparthotel,tipo_Room_in_bed_and_breakfast,tipo_Room_in_boutique_hotel,tipo_Room_in_hostel,tipo_Room_in_hotel,tipo_Room_in_serviced_apartment,tipo_Shared_room_in_bed_and_breakfast,tipo_Shared_room_in_casa_particular,tipo_Shared_room_in_guesthouse,tipo_Shared_room_in_home,tipo_Shared_room_in_hostel,tipo_Shared_room_in_hotel,tipo_Shared_room_in_rental_unit,tipo_Tiny_home,tipo_Tower,tipo_Windmill,tipo_Yurt,habitacion_Entire_home/apt,habitacion_Hotel_room,habitacion_Private_room,habitacion_Shared_room
1.0,-0.5,0.0,0.0,-0.5,45647.0,-0.2558139534883721,0.6315789473684232,0.5624999999999987,0.6363636363636356,0.4999999999999963,0.3846153846153836,0.47058823529411825,0.7894736842105265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.5,-1.0,0.0,0.0,-0.5,19856.0,-0.11627906976744186,0.6315789473684232,0.5624999999999987,0.6363636363636356,0.4999999999999963,0.3846153846153836,-0.23529411764705913,0.7894736842105265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.5,0.0,0.0,0.0,0.0,46776.0,2.627906976744186,-0.7368421052631582,-0.4375000000000014,-0.04545454545454857,-1.0833333333333388,-0.9230769230769247,-0.6470588235294139,-0.31578947368420784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.3333333333333333,-1.0,0.0,0.0,-0.5,25572.0,-0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,1.0,0.0,107043.5,-0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.5,1.0,1.0,2.0,0.5,56615.33,-0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,-0.5,0.0,0.0,-0.5,35000.0,1.697674418604651,-0.7368421052631582,-0.6875000000000013,0.04545454545454454,-2.0,-2.1538461538461577,-0.7058823529411774,-0.368421052631575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,-0.5,0.0,0.0,-0.5,32627.0,-0.11627906976744186,-2.631578947368428,-4.124999999999997,0.09090909090908908,-5.749999999999998,-3.4615384615384657,0.47058823529411825,-2.4736842105263093,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.5,-0.5,0.0,0.0,-0.5,40169.0,-0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.16666666666666666,-1.0,0.0,0.0,-0.5,24013.0,-0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
